Title,URL
Chemisch Technischer Assistent (m/w/d) (Chemisch-technische/r Assistent/in),"=HYPERLINK(""https://europa.eu/eures/portal/jv-se/jv-details/MTM0MTQtSUhCMVRYMEo3Q0Q2QVpSMS1TIDE"",""https://europa.eu/eures/portal/jv-se/jv-details/MTM0MTQtSUhCMVRYMEo3Q0Q2QVpSMS1TIDE"")"
Chemiker (m/w/d) Entwicklungsanalytik im Bereich F&E (Chemikant/in),"=HYPERLINK(""https://europa.eu/eures/portal/jv-se/jv-details/MTU5MzctazU1ODA1LjUxOTIwLVMgMQ"",""https://europa.eu/eures/portal/jv-se/jv-details/MTU5MzctazU1ODA1LjUxOTIwLVMgMQ"")"
Laborant (m/w/d) Pharma (Biologielaborant/in),"=HYPERLINK(""https://europa.eu/eures/portal/jv-se/jv-details/MTIyNjUtMzEwODEwX0pCNDEzMjkwNy1TIDE"",""https://europa.eu/eures/portal/jv-se/jv-details/MTIyNjUtMzEwODEwX0pCNDEzMjkwNy1TIDE"")"
